scenario_id,kl_divergence,residuals,model_probs
S1_017,0.445386,"{""D0_minimal"": 0.0, ""D1_review"": -0.7188, ""D3_ceo_transition"": -0.28}","{""D0_minimal"": -12.2499, ""D1_review"": -0.0096, ""D3_ceo_transition"": -0.006}"
S1_018,0.5234,"{""Drev_no_action"": 0.0, ""Drev_commission_review"": -0.88, ""Drev_sack_ceo"": -0.2178}","{""Drev_no_action"": -12.2499, ""Drev_commission_review"": -0.2968, ""Drev_sack_ceo"": -0.3033}"
S1_019,0.533599,"{""Drev_no_action"": 0.0, ""Drev_commission_review"": -0.9188, ""Drev_sack_ceo"": -0.1}","{""Drev_no_action"": -12.2499, ""Drev_commission_review"": -0.2968, ""Drev_sack_ceo"": -0.2932}"
S1_020,0.453328,"{""Drev_no_action"": 0.0, ""Drev_commission_review"": -0.7788, ""Drev_sack_ceo"": -0.1}","{""Drev_no_action"": -12.2499, ""Drev_commission_review"": -0.2968, ""Drev_sack_ceo"": -0.2932}"
S1_021,0.456844,"{""Drev_no_action"": 0.0, ""Drev_commission_review"": -0.7788, ""Drev_sack_ceo"": -0.14}","{""Drev_no_action"": -12.2499, ""Drev_commission_review"": -0.2968, ""Drev_sack_ceo"": -0.2932}"
S1_022,2.887444,"{""Drev_no_action"": 0.0, ""Drev_commission_review"": 3.18, ""Drev_sack_ceo"": 3.86}","{""Drev_no_action"": 5.5592, ""Drev_commission_review"": 5.5592, ""Drev_sack_ceo"": 5.5592}"
S1_023,2.870586,"{""Drev_no_action"": 0.0, ""Drev_commission_review"": 2.98, ""Drev_sack_ceo"": 3.98}","{""Drev_no_action"": 5.5693, ""Drev_commission_review"": 5.5693, ""Drev_sack_ceo"": 5.5693}"
S1_025,0.97259,"{""D0_minimal"": 0.0, ""D1_review"": -0.68, ""D3_ceo_transition"": 1.5412}","{""D0_minimal"": -6.1601, ""D1_review"": 5.5496, ""D3_ceo_transition"": -0.0161}"
S1_026,0.948428,"{""D0_minimal"": 0.0, ""D1_review"": -0.62, ""D3_ceo_transition"": 1.5212}","{""D0_minimal"": -6.1601, ""D1_review"": 5.5496, ""D3_ceo_transition"": -0.0161}"
S1_029,2.858548,"{""Drev_no_action"": 0.0, ""Drev_commission_review"": 3.4167, ""Drev_sack_ceo"": 3.5833}","{""Drev_no_action"": 5.5592, ""Drev_commission_review"": 5.5592, ""Drev_sack_ceo"": 5.5592}"
